"Item ID","Item Detail",,
162,"Item 162",$162,
163,"Item 163",$163,
164,"Item 164",$164,
165,"Item 165",$165,
166,"Item 166",$166,
167,"Item 167",$167,
168,"Item 168",$168,
169,"Item 169",$169,
170,"Item 170",$170,
171,"Item 171",$171,
172,"Item 172",$172,
173,"Item 173",$173,
174,"Item 174",$174,
175,"Item 175",$175,
176,"Item 176",$176,
177,"Item 177",$177,
178,"Item 178",$178,
179,"Item 179",$179,
180,"Item 180",$180,
181,"Item 181",$181,
182,"Item 182",$182,
183,"Item 183",$183,
184,"Item 184",$184,
185,"Item 185",$185,
186,"Item 186",$186,
187,"Item 187",$187,
188,"Item 188",$188,
189,"Item 189",$189,
190,"Item 190",$190,
191,"Item 191",$191,
192,"Item 192",$192,
193,"Item 193",$193,
194,"Item 194",$194,
195,"Item 195",$195,
196,"Item 196",$196,
197,"Item 197",$197,
198,"Item 198",$198,
199,"Item 199",$199,
200,"Item 200",$200,
201,"Item 201",$201,
202,"Item 202",$202,
203,"Item 203",$203,
204,"Item 204",$204,
205,"Item 205",$205,
206,"Item 206",$206,
207,"Item 207",$207,
208,"Item 208",$208,
209,"Item 209",$209,
210,"Item 210",$210,
211,"Item 211",$211,
212,"Item 212",$212,
213,"Item 213",$213,
214,"Item 214",$214,
215,"Item 215",$215,
216,"Item 216",$216,
217,"Item 217",$217,
218,"Item 218",$218,
219,"Item 219",$219,
220,"Item 220",$220,
221,"Item 221",$221,
222,"Item 222",$222,
223,"Item 223",$223,
224,"Item 224",$224,
225,"Item 225",$225,
226,"Item 226",$226,
227,"Item 227",$227,
228,"Item 228",$228,
229,"Item 229",$229,
230,"Item 230",$230,
231,"Item 231",$231,
232,"Item 232",$232,
233,"Item 233",$233,
234,"Item 234",$234,
235,"Item 235",$235,
236,"Item 236",$236,
237,"Item 237",$237,
238,"Item 238",$238,
239,"Item 239",$239,
240,"Item 240",$240,
241,"Item 241",$241,
242,"Item 242",$242,
243,"Item 243",$243,
244,"Item 244",$244,
245,"Item 245",$245,
246,"Item 246",$246,
247,"Item 247",$247,
248,"Item 248",$248,
249,"Item 249",$249,
250,"Item 250",$250,
251,"Item 251",$251,
252,"Item 252",$252,
253,"Item 253",$253,
254,"Item 254",$254,
255,"Item 255",$255,
256,"Item 256",$256,
257,"Item 257",$257,
258,"Item 258",$258,
259,"Item 259",$259,
260,"Item 260",$260,
261,"Item 261",$261,
262,"Item 262",$262,
263,"Item 263",$263,
264,"Item 264",$264,
265,"Item 265",$265,
266,"Item 266",$266,
267,"Item 267",$267,
268,"Item 268",$268,
269,"Item 269",$269,
270,"Item 270",$270,
271,"Item 271",$271,
272,"Item 272",$272,
273,"Item 273",$273,
274,"Item 274",$274,
275,"Item 275",$275,
276,"Item 276",$276,
277,"Item 277",$277,
278,"Item 278",$278,
279,"Item 279",$279,
280,"Item 280",$280,
281,"Item 281",$281,
282,"Item 282",$282,
283,"Item 283",$283,
284,"Item 284",$284,
285,"Item 285",$285,
286,"Item 286",$286,
287,"Item 287",$287,
288,"Item 288",$288,
289,"Item 289",$289,
290,"Item 290",$290,
291,"Item 291",$291,
292,"Item 292",$292,
293,"Item 293",$293,
294,"Item 294",$294,
295,"Item 295",$295,
296,"Item 296",$296,
297,"Item 297",$297,
298,"Item 298",$298,
299,"Item 299",$299,
300,"Item 300",$300,
301,"Item 301",$301,
302,"Item 302",$302,
303,"Item 303",$303,
304,"Item 304",$304,
305,"Item 305",$305,
306,"Item 306",$306,
307,"Item 307",$307,
308,"Item 308",$308,
309,"Item 309",$309,
310,"Item 310",$310,
311,"Item 311",$311,
312,"Item 312",$312,
313,"Item 313",$313,
314,"Item 314",$314,
315,"Item 315",$315,
316,"Item 316",$316,
317,"Item 317",$317,
318,"Item 318",$318,
319,"Item 319",$319,
320,"Item 320",$320,
321,"Item 321",$321,
322,"Item 322",$322,
323,"Item 323",$323,
324,"Item 324",$324,
325,"Item 325",$325,
326,"Item 326",$326,
327,"Item 327",$327,
328,"Item 328",$328,
329,"Item 329",$329,
330,"Item 330",$330,
331,"Item 331",$331,
332,"Item 332",$332,
333,"Item 333",$333,
334,"Item 334",$334,
335,"Item 335",$335,
336,"Item 336",$336,
337,"Item 337",$337,
338,"Item 338",$338,
339,"Item 339",$339,
340,"Item 340",$340,
341,"Item 341",$341,
342,"Item 342",$342,
343,"Item 343",$343,
344,"Item 344",$344,
345,"Item 345",$345,
346,"Item 346",$346,
347,"Item 347",$347,
348,"Item 348",$348,
349,"Item 349",$349,
350,"Item 350",$350,
351,"Item 351",$351,
352,"Item 352",$352,
353,"Item 353",$353,
354,"Item 354",$354,
355,"Item 355",$355,
356,"Item 356",$356,
357,"Item 357",$357,
358,"Item 358",$358,
359,"Item 359",$359,
360,"Item 360",$360,
361,"Item 361",$361,
362,"Item 362",$362,
363,"Item 363",$363,
364,"Item 364",$364,
365,"Item 365",$365,
366,"Item 366",$366,
367,"Item 367",$367,
368,"Item 368",$368,
369,"Item 369",$369,
370,"Item 370",$370,
371,"Item 371",$371,
372,"Item 372",$372,
373,"Item 373",$373,
374,"Item 374",$374,
375,"Item 375",$375,
376,"Item 376",$376,
377,"Item 377",$377,
378,"Item 378",$378,
379,"Item 379",$379,
380,"Item 380",$380,
381,"Item 381",$381,
382,"Item 382",$382,
383,"Item 383",$383,
384,"Item 384",$384,
385,"Item 385",$385,
386,"Item 386",$386,
387,"Item 387",$387,
388,"Item 388",$388,
389,"Item 389",$389,
390,"Item 390",$390,
391,"Item 391",$391,
392,"Item 392",$392,
393,"Item 393",$393,
394,"Item 394",$394,
395,"Item 395",$395,
396,"Item 396",$396,
397,"Item 397",$397,
398,"Item 398",$398,
399,"Item 399",$399,
400,"Item 400",$400,
401,"Item 401",$401,
402,"Item 402",$402,
403,"Item 403",$403,
404,"Item 404",$404,
405,"Item 405",$405,
406,"Item 406",$406,
407,"Item 407",$407,
408,"Item 408",$408,
409,"Item 409",$409,
410,"Item 410",$410,
411,"Item 411",$411,
412,"Item 412",$412,
413,"Item 413",$413,
414,"Item 414",$414,
415,"Item 415",$415,
416,"Item 416",$416,
417,"Item 417",$417,
418,"Item 418",$418,
419,"Item 419",$419,
420,"Item 420",$420,
421,"Item 421",$421,
422,"Item 422",$422,
423,"Item 423",$423,
424,"Item 424",$424,
425,"Item 425",$425,
426,"Item 426",$426,
427,"Item 427",$427,
428,"Item 428",$428,
429,"Item 429",$429,
430,"Item 430",$430,
431,"Item 431",$431,
432,"Item 432",$432,
433,"Item 433",$433,
434,"Item 434",$434,
435,"Item 435",$435,
436,"Item 436",$436,
437,"Item 437",$437,
438,"Item 438",$438,
439,"Item 439",$439,
440,"Item 440",$440,
441,"Item 441",$441,
442,"Item 442",$442,
443,"Item 443",$443,
444,"Item 444",$444,
445,"Item 445",$445,
446,"Item 446",$446,
447,"Item 447",$447,
448,"Item 448",$448,
449,"Item 449",$449,
450,"Item 450",$450,
451,"Item 451",$451,
452,"Item 452",$452,
453,"Item 453",$453,
454,"Item 454",$454,
455,"Item 455",$455,
456,"Item 456",$456,
457,"Item 457",$457,
458,"Item 458",$458,
459,"Item 459",$459,
460,"Item 460",$460,
461,"Item 461",$461,
462,"Item 462",$462,
463,"Item 463",$463,
464,"Item 464",$464,
465,"Item 465",$465,
466,"Item 466",$466,
467,"Item 467",$467,
468,"Item 468",$468,
469,"Item 469",$469,
470,"Item 470",$470,
471,"Item 471",$471,
472,"Item 472",$472,
473,"Item 473",$473,
474,"Item 474",$474,
475,"Item 475",$475,
476,"Item 476",$476,
477,"Item 477",$477,
478,"Item 478",$478,
479,"Item 479",$479,
480,"Item 480",$480,
481,"Item 481",$481,
482,"Item 482",$482,
483,"Item 483",$483,
484,"Item 484",$484,
485,"Item 485",$485,
486,"Item 486",$486,
487,"Item 487",$487,
488,"Item 488",$488,
489,"Item 489",$489,
490,"Item 490",$490,
491,"Item 491",$491,
492,"Item 492",$492,
493,"Item 493",$493,
494,"Item 494",$494,
495,"Item 495",$495,
496,"Item 496",$496,
497,"Item 497",$497,
498,"Item 498",$498,
499,"Item 499",$499,
500,"Item 500",$500,
501,"Item 501",$501,
502,"Item 502",$502,
503,"Item 503",$503,
504,"Item 504",$504,
505,"Item 505",$505,
506,"Item 506",$506,
507,"Item 507",$507,
508,"Item 508",$508,
509,"Item 509",$509,
510,"Item 510",$510,
511,"Item 511",$511,
512,"Item 512",$512,
513,"Item 513",$513,
514,"Item 514",$514,
515,"Item 515",$515,
516,"Item 516",$516,
517,"Item 517",$517,
518,"Item 518",$518,
519,"Item 519",$519,
520,"Item 520",$520,
521,"Item 521",$521,
522,"Item 522",$522,
523,"Item 523",$523,
524,"Item 524",$524,
525,"Item 525",$525,
526,"Item 526",$526,
527,"Item 527",$527,
528,"Item 528",$528,
529,"Item 529",$529,
530,"Item 530",$530,
531,"Item 531",$531,
532,"Item 532",$532,
533,"Item 533",$533,
534,"Item 534",$534,
535,"Item 535",$535,
536,"Item 536",$536,
537,"Item 537",$537,
538,"Item 538",$538,
539,"Item 539",$539,
540,"Item 540",$540,
541,"Item 541",$541,
542,"Item 542",$542,
543,"Item 543",$543,
544,"Item 544",$544,
545,"Item 545",$545,
546,"Item 546",$546,
547,"Item 547",$547,
548,"Item 548",$548,
549,"Item 549",$549,
550,"Item 550",$550,
551,"Item 551",$551,
552,"Item 552",$552,
553,"Item 553",$553,
554,"Item 554",$554,
555,"Item 555",$555,
556,"Item 556",$556,
557,"Item 557",$557,
558,"Item 558",$558,
559,"Item 559",$559,
560,"Item 560",$560,
561,"Item 561",$561,
562,"Item 562",$562,
563,"Item 563",$563,
564,"Item 564",$564,
565,"Item 565",$565,
566,"Item 566",$566,
567,"Item 567",$567,
568,"Item 568",$568,
569,"Item 569",$569,
570,"Item 570",$570,
571,"Item 571",$571,
572,"Item 572",$572,
573,"Item 573",$573,
574,"Item 574",$574,
575,"Item 575",$575,
576,"Item 576",$576,
577,"Item 577",$577,
578,"Item 578",$578,
579,"Item 579",$579,
580,"Item 580",$580,
581,"Item 581",$581,
582,"Item 582",$582,
583,"Item 583",$583,
584,"Item 584",$584,
585,"Item 585",$585,
586,"Item 586",$586,
587,"Item 587",$587,
588,"Item 588",$588,
589,"Item 589",$589,
590,"Item 590",$590,
591,"Item 591",$591,
592,"Item 592",$592,
593,"Item 593",$593,
594,"Item 594",$594,
595,"Item 595",$595,
596,"Item 596",$596,
597,"Item 597",$597,
598,"Item 598",$598,
599,"Item 599",$599,
600,"Item 600",$600,
601,"Item 601",$601,
602,"Item 602",$602,
603,"Item 603",$603,
604,"Item 604",$604,
605,"Item 605",$605,
606,"Item 606",$606,
607,"Item 607",$607,
608,"Item 608",$608,
609,"Item 609",$609,
610,"Item 610",$610,
611,"Item 611",$611,
612,"Item 612",$612,
613,"Item 613",$613,
614,"Item 614",$614,
615,"Item 615",$615,
616,"Item 616",$616,
617,"Item 617",$617,
618,"Item 618",$618,
619,"Item 619",$619,
620,"Item 620",$620,
621,"Item 621",$621,
622,"Item 622",$622,
623,"Item 623",$623,
624,"Item 624",$624,
625,"Item 625",$625,
626,"Item 626",$626,
627,"Item 627",$627,
628,"Item 628",$628,
629,"Item 629",$629,
630,"Item 630",$630,
631,"Item 631",$631,
632,"Item 632",$632,
633,"Item 633",$633,
634,"Item 634",$634,
635,"Item 635",$635,
636,"Item 636",$636,
637,"Item 637",$637,
638,"Item 638",$638,
639,"Item 639",$639,
640,"Item 640",$640,
641,"Item 641",$641,
642,"Item 642",$642,
643,"Item 643",$643,
644,"Item 644",$644,
645,"Item 645",$645,
646,"Item 646",$646,
647,"Item 647",$647,
648,"Item 648",$648,
649,"Item 649",$649,
650,"Item 650",$650,
651,"Item 651",$651,
652,"Item 652",$652,
653,"Item 653",$653,
654,"Item 654",$654,
655,"Item 655",$655,
656,"Item 656",$656,
657,"Item 657",$657,
658,"Item 658",$658,
659,"Item 659",$659,
660,"Item 660",$660,
661,"Item 661",$661,
662,"Item 662",$662,
663,"Item 663",$663,
664,"Item 664",$664,
665,"Item 665",$665,
666,"Item 666",$666,
667,"Item 667",$667,
668,"Item 668",$668,
669,"Item 669",$669,
670,"Item 670",$670,
671,"Item 671",$671,
672,"Item 672",$672,
673,"Item 673",$673,
674,"Item 674",$674,
675,"Item 675",$675,
676,"Item 676",$676,
677,"Item 677",$677,
678,"Item 678",$678,
679,"Item 679",$679,
680,"Item 680",$680,
681,"Item 681",$681,
682,"Item 682",$682,
683,"Item 683",$683,
684,"Item 684",$684,
685,"Item 685",$685,
686,"Item 686",$686,
687,"Item 687",$687,
688,"Item 688",$688,
689,"Item 689",$689,
690,"Item 690",$690,
691,"Item 691",$691,
692,"Item 692",$692,
693,"Item 693",$693,
694,"Item 694",$694,
695,"Item 695",$695,
696,"Item 696",$696,
697,"Item 697",$697,
698,"Item 698",$698,
699,"Item 699",$699,
700,"Item 700",$700,
701,"Item 701",$701,
702,"Item 702",$702,
703,"Item 703",$703,
704,"Item 704",$704,
705,"Item 705",$705,
706,"Item 706",$706,
707,"Item 707",$707,
708,"Item 708",$708,
709,"Item 709",$709,
710,"Item 710",$710,
711,"Item 711",$711,
712,"Item 712",$712,
713,"Item 713",$713,
714,"Item 714",$714,
715,"Item 715",$715,
716,"Item 716",$716,
717,"Item 717",$717,
718,"Item 718",$718,
719,"Item 719",$719,
720,"Item 720",$720,
721,"Item 721",$721,
722,"Item 722",$722,
723,"Item 723",$723,
724,"Item 724",$724,
725,"Item 725",$725,
726,"Item 726",$726,
727,"Item 727",$727,
728,"Item 728",$728,
729,"Item 729",$729,
730,"Item 730",$730,
731,"Item 731",$731,
732,"Item 732",$732,
733,"Item 733",$733,
734,"Item 734",$734,
735,"Item 735",$735,
736,"Item 736",$736,
737,"Item 737",$737,
738,"Item 738",$738,
739,"Item 739",$739,
740,"Item 740",$740,
741,"Item 741",$741,
742,"Item 742",$742,
743,"Item 743",$743,
744,"Item 744",$744,
745,"Item 745",$745,
746,"Item 746",$746,
747,"Item 747",$747,
748,"Item 748",$748,
749,"Item 749",$749,
750,"Item 750",$750,
751,"Item 751",$751,
752,"Item 752",$752,
753,"Item 753",$753,
754,"Item 754",$754,
755,"Item 755",$755,
756,"Item 756",$756,
757,"Item 757",$757,
758,"Item 758",$758,
759,"Item 759",$759,
760,"Item 760",$760,
761,"Item 761",$761,
762,"Item 762",$762,
763,"Item 763",$763,
764,"Item 764",$764,
765,"Item 765",$765,
766,"Item 766",$766,
767,"Item 767",$767,
768,"Item 768",$768,
769,"Item 769",$769,
770,"Item 770",$770,
771,"Item 771",$771,
772,"Item 772",$772,
773,"Item 773",$773,
774,"Item 774",$774,
775,"Item 775",$775,
776,"Item 776",$776,
777,"Item 777",$777,
778,"Item 778",$778,
779,"Item 779",$779,
780,"Item 780",$780,
781,"Item 781",$781,
782,"Item 782",$782,
783,"Item 783",$783,
784,"Item 784",$784,
785,"Item 785",$785,
786,"Item 786",$786,
787,"Item 787",$787,
788,"Item 788",$788,
789,"Item 789",$789,
790,"Item 790",$790,
791,"Item 791",$791,
792,"Item 792",$792,
793,"Item 793",$793,
794,"Item 794",$794,
795,"Item 795",$795,
796,"Item 796",$796,
797,"Item 797",$797,
798,"Item 798",$798,
799,"Item 799",$799,
